"","POPULATION_CU","POPULATION","POP_ID","SPECIES","Y_LAT","X_LONGT","CU_NAME","CU_ACRO","FULL_CU_IN","cuid","IS_INDICATOR","REGION","year_start","year_final","START_SPAWN_DT","nYears_START_SPAWN_DT","nYearsOutside_START_SPAWN_DT","PEAK_SPAWN_DT","nYears_PEAK_SPAWN_DT","nYearsOutside_PEAK_SPAWN_DT","END_SPAWN_DT","nYears_END_SPAWN_DT","nYearsOutside_END_SPAWN_DT","DQ_START","DQ_PEAK","DQ_END"
"207","Ashlulm Creek (Rivers Inlet) Chinook_CK-37","Ashlulm Creek (Rivers Inlet) Chinook",51624,"Chinook",51.6886483578924,-126.899220818453,"RIVERS INLET","RI","CK-37",510,"Y","Central Coast",1971,2009,242.913043478261,23,21,255.391304347826,23,21,276.690476190476,21,19,2,2,2
"208","Ashlulm Creek (Rivers Inlet) Chum_CM-13","Ashlulm Creek (Rivers Inlet) Chum",51623,"Chum",51.6886483578924,-126.899220818453,"RIVERS INLET","RIVERS","CM-13",501,"N","Central Coast",1972,2022,246.263157894737,19,18,257.190476190476,21,20,270,21,20,2,2,2
"209","Ashlulm Creek (Rivers Inlet) Coho_CO-21","Ashlulm Creek (Rivers Inlet) Coho",51621,"Coho",51.6886483578924,-126.899220818453,"RIVERS INLET","Rivers","CO-21",517,"N","Central Coast",1970,2022,270.2,10,6,291.3,10,6,340.2,10,6,2,2,2
"210","Ashlulm Creek (Rivers Inlet) Pink_PKE-6","Ashlulm Creek (Rivers Inlet) Pink",51622,"Pink",51.6886483578924,-126.899220818453,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"Y","Central Coast",1970,2022,247.227272727273,11,8,260.916666666667,12,9,270.5,12,9,2,2,2
"211","Ashlulm Creek (Rivers Inlet) Pink_PKO-8","Ashlulm Creek (Rivers Inlet) Pink",51622,"Pink",51.6886483578924,-126.899220818453,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",1959,2022,240.75,14,13,257.5,15,14,269.214285714286,14,13,2,2,2
"212","Ashlulm Creek (Rivers Inlet) Sockeye_SEL-15-02","Ashlulm Creek (Rivers Inlet) Sockeye",51620,"Sockeye",51.6886483578924,-126.899220818453,"OWIKENO","Owikeno","SEL-15-02",525,"Y","Central Coast",1953,2022,253.327272727273,55,48,268.932203389831,59,52,293.802083333333,48,37,1,1,1
"213","Asitka River (Smithers) Chinook_CK-56","Asitka River (Smithers) Chinook",48133,"Chinook",56.3939060106256,-126.789688413335,"UPPER SKEENA","USK","CK-56",212,"N","Skeena",2010,2020,234.666666666667,6,6,243.5,6,6,263.833333333333,6,6,3,3,3
"214","Asitka River (Smithers) Coho_CO-34","Asitka River (Smithers) Coho",48130,"Coho",56.3939060106256,-126.789688413335,"UPPER SKEENA","USKNA","CO-34",231,"N","Skeena",1977,2022,271.15,20,19,282.15,20,18,299.85,20,17,2,2,2
"215","Asitka River (Smithers) Pink_PKO-16","Asitka River (Smithers) Pink",48131,"Pink",56.3939060106256,-126.789688413335,"MIDDLE AND UPPER SKEENA","MandUSK","PKO-16",213,"N","Skeena",2009,2009,248.5,1,1,258.5,1,1,268.5,1,1,3,3,3
"216","Asitka River (Smithers) Sockeye_SEL-22-01","Asitka River (Smithers) Sockeye",48129,"Sockeye",56.3939060106256,-126.789688413335,"ASITIKA","Asitika","SEL-22-01",190,"N","Skeena",1957,2022,254.363636363636,33,29,263.590909090909,33,23,283.125,32,23,2,1,1
"217","Asseek River (Bella Coola) Chum_CM-16","Asseek River (Bella Coola) Chum",51748,"Chum",51.9624538497316,-126.678604318747,"BELLA COOLA-DEAN RIVERS","BCD","CM-16",504,"N","Central Coast",1954,1994,227.083333333333,36,32,245.527777777778,36,31,266.861111111111,36,27,2,1,1
"218","Asseek River (Bella Coola) Coho_CO-22","Asseek River (Bella Coola) Coho",51746,"Coho",51.9624538497316,-126.678604318747,"BELLA COOLA-DEAN RIVERS","BCD","CO-22",518,"N","Central Coast",1954,1993,250.315789473684,19,17,284.368421052632,19,14,316.166666666667,18,13,2,1,1
"219","Asseek River (Bella Coola) Pink_PKE-6","Asseek River (Bella Coola) Pink",51747,"Pink",51.9624538497316,-126.678604318747,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"N","Central Coast",1954,2006,226.075,20,18,246.681818181818,22,19,263.2,20,15,2,2,1
"220","Asseek River (Bella Coola) Pink_PKO-8","Asseek River (Bella Coola) Pink",51747,"Pink",51.9624538497316,-126.678604318747,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",1955,1993,226.066666666667,15,15,244.6,15,14,263.933333333333,15,13,3,2,2
"221","Asseek River (Bella Coola) Sockeye_SER-16","Asseek River (Bella Coola) Sockeye",51745,"Sockeye",51.9624538497316,-126.678604318747,"NORTHERN COASTAL FJORDS","NCFj","SER-16",614,"N","Central Coast",1977,1993,243.384615384615,13,13,265.538461538462,13,11,284,13,11,3,2,2
"222","Atchelitz Creek (Chilliwack) Chum_CM-2","Atchelitz Creek (Chilliwack) Chum",47077,"Chum",49.1577550372453,-121.992371792707,"LOWER FRASER","LFR","CM-2",701,"N","Fraser",1984,1984,NA,0,0,NA,0,0,310,1,0,3,3,2
"223","Atchelitz Creek (Chilliwack) Coho_CO-47","Atchelitz Creek (Chilliwack) Coho",47076,"Coho",49.1577550372453,-121.992371792707,"LOWER FRASER","LFR","CO-47",750,"N","Fraser",1953,1989,353.269230769231,26,4,367.571428571429,14,2,391.222222222222,18,5,1,1,1
"224","Atleo River (Tofino) Pink Run 1_PKE-2","Atleo River (Tofino) Pink Run 1",41129,"Pink",49.3699172482431,-126.058336374095,"WEST VANCOUVER ISLAND","WVI","PKE-2",918,"N","Vancouver Island & Mainland Inlets",1968,1974,237.666666666667,3,0,260,3,0,273.333333333333,3,0,2,2,2
"225","Atleo River (Tofino) Sockeye Run 1_SER-10","Atleo River (Tofino) Sockeye Run 1",41125,"Sockeye",49.3699172482431,-126.058336374095,"WEST VANCOUVER ISLAND","WVI","SER-10",972,"N","Vancouver Island & Mainland Inlets",1994,1994,NA,0,0,NA,0,0,NA,0,0,3,3,3
"226","Atleo River Chinook_CK-31","Atleo River Chinook",41133,"Chinook",49.3699172482431,-126.058336374095,"WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI","CK-31",328,"N","Vancouver Island & Mainland Inlets",1968,1968,289,1,0,320,1,0,320,1,0,2,2,2
"227","Atleo River Chum_CM-10","Atleo River Chum",41131,"Chum",49.3699172482431,-126.058336374095,"SOUTHWEST VANCOUVER ISLAND","SWVI","CM-10",978,"N","Vancouver Island & Mainland Inlets",1953,2001,285.806818181818,44,15,301.65,30,14,320.918604651163,43,14,1,1,1
"228","Atleo River Coho_CO-18","Atleo River Coho",41127,"Coho",49.3699172482431,-126.058336374095,"CLAYOQUOT","CLAY","CO-18",915,"N","Vancouver Island & Mainland Inlets",1953,2001,286.3,35,9,320.586956521739,23,9,342.316666666667,30,9,1,1,1
"229","Atna River (Smithers) Coho_CO-33","Atna River (Smithers) Coho",49215,"Coho",54.0171933734417,-127.759133113499,"MIDDLE SKEENA","MSKNA","CO-33",215,"N","Skeena",1977,2020,281.666666666667,9,8,290.777777777778,9,7,308.777777777778,9,7,2,2,2
"230","Atna River (Smithers) Sockeye_SEL-21-07","Atna River (Smithers) Sockeye",49214,"Sockeye",54.0171933734417,-127.759133113499,"MORICE","Morice","SEL-21-07",185,"N","Skeena",1965,2020,239.131578947368,19,12,260.342105263158,19,10,278.236842105263,19,10,1,1,1
"231","Atnarko River (Bella Coola) Chinook_CK-39","Atnarko River (Bella Coola) Chinook",51784,"Chinook",52.3765641788711,-126.094356405061,"BELLA COOLA-BENTINCK","BCR-BENT","CK-39",512,"N","Central Coast",2020,2021,243.5,2,2,254,2,2,264,2,2,3,3,3
"232","Atnarko River (Bella Coola) Coho_CO-22","Atnarko River (Bella Coola) Coho",51781,"Coho",52.3765641788711,-126.094356405061,"BELLA COOLA-DEAN RIVERS","BCD","CO-22",518,"N","Central Coast",2010,2015,NA,0,0,319.5,2,2,NA,0,0,3,3,3
"233","Atnarko River (Bella Coola) Pink_PKE-6","Atnarko River (Bella Coola) Pink",51782,"Pink",52.3765641788711,-126.094356405061,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"N","Central Coast",2018,2018,248.5,1,1,258.5,1,1,268.5,1,1,3,3,3
"234","Atnarko River (Bella Coola) Pink_PKO-8","Atnarko River (Bella Coola) Pink",51782,"Pink",52.3765641788711,-126.094356405061,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",2013,2013,NA,0,0,268.5,1,1,NA,0,0,3,3,3
"235","Atnarko River (Bella Coola) Sockeye_SER-16","Atnarko River (Bella Coola) Sockeye",51780,"Sockeye",52.3765641788711,-126.094356405061,"NORTHERN COASTAL FJORDS","NCFj","SER-16",614,"N","Central Coast",2010,2020,258.7,5,5,265.928571428571,7,7,285.833333333333,3,3,3,3,3
"236","Atnarko Spawning Channel (Bella Coola) Chinook_NA","Atnarko Spawning Channel (Bella Coola) Chinook",45645,"Chinook",NA,NA,NA,NA,NA,NA,NA,NA,1986,1994,237.222222222222,9,7,258.222222222222,9,7,277.111111111111,9,7,2,2,2
"237","Atnarko Spawning Channel (Bella Coola) Chum_NA","Atnarko Spawning Channel (Bella Coola) Chum",45644,"Chum",NA,NA,NA,NA,NA,NA,NA,NA,1986,1994,244.444444444444,9,7,276.888888888889,9,7,329.222222222222,9,7,2,2,2
"238","Atnarko Spawning Channel (Bella Coola) Coho_NA","Atnarko Spawning Channel (Bella Coola) Coho",45642,"Coho",NA,NA,NA,NA,NA,NA,NA,NA,1986,2005,268.222222222222,9,7,351.25,10,8,407.222222222222,9,7,2,2,2
"239","Atnarko Spawning Channel (Bella Coola) Pink_NA","Atnarko Spawning Channel (Bella Coola) Pink",45643,"Pink",NA,NA,NA,NA,NA,NA,NA,NA,1986,2007,234.8,10,7,256.954545454545,11,8,286.8,10,7,2,2,2
"240","Atnarko Spawning Channel (Bella Coola) Sockeye_NA","Atnarko Spawning Channel (Bella Coola) Sockeye",45641,"Sockeye",NA,NA,NA,NA,NA,NA,NA,NA,1986,1994,248.222222222222,9,7,268.222222222222,9,7,298.222222222222,9,7,2,2,2
"241","Avalon Creek Chum_CM-3","Avalon Creek Chum",50146,"Chum",49.4979111054604,-123.48943336908,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1971,1976,298.5,6,3,308.666666666667,6,3,326,6,3,2,2,2
"242","Aveling Creek (Kitimat-Butedale) Chinook_CK-42","Aveling Creek (Kitimat-Butedale) Chinook",50439,"Chinook",54.2576624420525,-128.841001432348,"NORTH AND CENTRAL COAST-EARLY TIMING","NCC-stream","CK-42",515,"N","Central Coast",1989,1989,206,1,1,227,1,1,248,1,1,3,3,3
"243","Aveling Creek (Kitimat-Butedale) Chum_CM-20","Aveling Creek (Kitimat-Butedale) Chum",50438,"Chum",54.2576624420525,-128.841001432348,"DOUGLAS-GARDNER","DOUG","CM-20",508,"N","Central Coast",1989,1989,217,1,1,227,1,1,248,1,1,3,3,3
"244","Aveling Creek (Kitimat-Butedale) Coho_CO-29","Aveling Creek (Kitimat-Butedale) Coho",50436,"Coho",54.2576624420525,-128.841001432348,"DOUGLAS CHANNEL-KITIMAT ARM","DOUG","CO-29",522,"N","Central Coast",1989,1989,298,1,1,329,1,1,335,1,1,3,3,3
"245","Avola Creek (Clearwater) Coho_CO-9","Avola Creek (Clearwater) Coho",46743,"Coho",51.7777034676445,-119.317830924581,"NORTH THOMPSON","NTHOM","CO-9",709,"Y","Fraser",1978,2014,297.382352941176,17,15,314.325,20,18,333.653846153846,13,11,2,2,2
"246","Awun River (Masset) Chum_CM-24","Awun River (Masset) Chum",41003,"Chum",53.6531833227279,-132.521348081942,"NORTH HAIDA GWAII","NHG","CM-24",802,"Y","Haida Gwaii",1953,2022,276.009433962264,53,29,286.111111111111,54,29,297.707547169811,53,25,1,1,1
"247","Awun River (Masset) Coho_CO-25","Awun River (Masset) Coho",41001,"Coho",53.6531833227279,-132.521348081942,"HG-GRAHAM ISLAND LOWLANDS","NHG","CO-25",809,"N","Haida Gwaii",1953,1989,262.571428571429,35,17,283.057142857143,35,16,300.821428571429,28,13,1,1,1
"248","Awun River (Masset) Pink_PKE-9","Awun River (Masset) Pink",41002,"Pink",53.6531833227279,-132.521348081942,"NORTH HAIDA GWAII","NHG","PKE-9",810,"N","Haida Gwaii",1954,2020,240.36,25,16,254.608695652174,23,14,265.6,25,15,1,1,1
"249","Awun River (Masset) Pink_PKO-10","Awun River (Masset) Pink",41002,"Pink",53.6531833227279,-132.521348081942,"NORTH HAIDA GWAII","NHG","PKO-10",814,"N","Haida Gwaii",1965,1989,242.714285714286,7,4,254.571428571429,7,3,265.142857142857,7,3,2,2,2
"250","Awun River (Masset) Sockeye_SEL-17-02","Awun River (Masset) Sockeye",41000,"Sockeye",53.6531833227279,-132.521348081942,"AWUN","Awun","SEL-17-02",820,"Y","Haida Gwaii",1969,2022,248.579545454545,44,24,263.034090909091,44,23,276.761363636364,44,23,1,1,1
"251","Ayum Creek (Sooke) Chinook Run 1_CK-31","Ayum Creek (Sooke) Chinook Run 1",40133,"Chinook",48.3910311701635,-123.658479824585,"WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI","CK-31",328,"N","Vancouver Island & Mainland Inlets",1997,1997,NA,0,0,NA,0,0,NA,0,0,3,3,3
"252","Ayum Creek Chum_CM-4","Ayum Creek Chum",40131,"Chum",48.3910311701635,-123.658479824585,"GEORGIA STRAIT","GStr-SFj","CM-4",904,"N","Vancouver Island & Mainland Inlets",1953,1999,300.309523809524,42,32,314.5,44,31,334.232558139535,43,31,1,1,1
"253","Ayum Creek Coho_CO-13","Ayum Creek Coho",40127,"Coho",48.3910311701635,-123.658479824585,"EAST VANCOUVER ISLAND-GEORGIA STRAIT","EVI+GStr","CO-13",910,"N","Vancouver Island & Mainland Inlets",1953,2000,313.681818181818,22,15,324,22,15,341.113636363636,22,15,1,1,1
"254","Azuklotz Creek (Smithers) Coho_CO-34","Azuklotz Creek (Smithers) Coho",48125,"Coho",56.097830522844,-126.755493775724,"UPPER SKEENA","USKNA","CO-34",231,"N","Skeena",1953,2020,278.681818181818,11,11,289.192307692308,13,12,301.166666666667,9,9,3,2,3
"255","Azuklotz Creek (Smithers) Sockeye_SEL-22-02","Azuklotz Creek (Smithers) Sockeye",48124,"Sockeye",56.097830522844,-126.755493775724,"AZUKLOTZ","Azuklotz","SEL-22-02",191,"Y","Skeena",1953,2022,239.239583333333,48,40,253.716981132075,53,40,269.420454545455,44,32,1,1,1
"256","B.C. Rail Spawning Channel (Squamish) Chum_CM-3","B.C. Rail Spawning Channel (Squamish) Chum",50018,"Chum",49.8260091233849,-123.149420036587,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1985,1993,321.444444444444,9,9,339.222222222222,9,9,361.777777777778,9,9,3,3,3
"257","B.C. Rail Spawning Channel (Squamish) Coho_CO-10","B.C. Rail Spawning Channel (Squamish) Coho",50016,"Coho",49.8260091233849,-123.149420036587,"HOWE SOUND-BURRARD INLET","Howe-Burrard","CO-10",907,"N","Vancouver Island & Mainland Inlets",1985,1993,329.222222222222,9,9,359.444444444444,9,9,385.777777777778,9,9,3,3,3
"258","Babine Lake (Smithers) Chinook_CK-53","Babine Lake (Smithers) Chinook",45456,"Chinook",55.2779024370695,-126.606397799942,"MIDDLE SKEENA-LARGE LAKES","MSK-LGLKS","CK-53",222,"N","Skeena",1999,2022,NA,0,0,NA,0,0,NA,0,0,3,3,3
"259","Babine Lake (Smithers) Coho_CO-33","Babine Lake (Smithers) Coho",45453,"Coho",55.2779024370695,-126.606397799942,"MIDDLE SKEENA","MSKNA","CO-33",215,"N","Skeena",1999,2022,NA,0,0,NA,0,0,NA,0,0,3,3,3
"260","Babine Lake (Smithers) Pink_PKO-16","Babine Lake (Smithers) Pink",45454,"Pink",55.2779024370695,-126.606397799942,"MIDDLE AND UPPER SKEENA","MandUSK","PKO-16",213,"N","Skeena",1999,2022,NA,0,0,NA,0,0,NA,0,0,3,3,3
"261","Babine Lake (Smithers) Sockeye_SEL-21-02","Babine Lake (Smithers) Sockeye",45452,"Sockeye",55.2779024370695,-126.606397799942,"BABINE","Babine","SEL-21-02",180,"N","Skeena",1999,2022,NA,0,0,NA,0,0,NA,0,0,3,3,3
"262","Babine River -  Unaccounted (Smithers) Sockeye_SEL-21-02","Babine River -  Unaccounted (Smithers) Sockeye",49354,"Sockeye",55.3218419706899,-126.628556298882,"BABINE","Babine","SEL-21-02",180,"N","Skeena",1958,1990,263.88,25,7,276.086956521739,23,5,300.4,25,7,1,1,1
"263","Babine River - Section 1-3 (Smithers) Coho_CO-33","Babine River - Section 1-3 (Smithers) Coho",49360,"Coho",55.3295447104137,-126.63140938558,"MIDDLE SKEENA","MSKNA","CO-33",215,"N","Skeena",2005,2022,316.5,13,13,331.416666666667,12,12,344.75,12,12,3,3,3
"264","Babine River - Section 1-3 (Smithers) Sockeye_SEL-21-02","Babine River - Section 1-3 (Smithers) Sockeye",49359,"Sockeye",55.3295447104137,-126.63140938558,"BABINE","Babine","SEL-21-02",180,"Y","Skeena",1985,2022,268,24,19,283.269230769231,26,20,305.833333333333,21,17,1,1,2
"265","Babine River - Section 4 (Smithers) Chinook_CK-53","Babine River - Section 4 (Smithers) Chinook",49368,"Chinook",55.4149695474349,-126.684005476861,"MIDDLE SKEENA-LARGE LAKES","MSK-LGLKS","CK-53",222,"Y","Skeena",1985,2022,247.45,20,14,263.690476190476,21,14,284.590909090909,22,14,1,1,1
"266","Babine River - Section 4 (Smithers) Chum_CM-28","Babine River - Section 4 (Smithers) Chum",49367,"Chum",55.4149695474349,-126.684005476861,"MIDDLE SKEENA","MSK","CM-28",214,"N","Skeena",1985,1985,182,1,0,213,1,0,244,1,0,2,2,2
"267","Babine River - Section 4 (Smithers) Coho_CO-33","Babine River - Section 4 (Smithers) Coho",49365,"Coho",55.4149695474349,-126.684005476861,"MIDDLE SKEENA","MSKNA","CO-33",215,"Y","Skeena",2000,2022,290.928571428571,14,14,303.166666666667,12,12,322.25,12,12,3,3,3
"268","Babine River - Section 4 (Smithers) Pink_PKE-8","Babine River - Section 4 (Smithers) Pink",49366,"Pink",55.4149695474349,-126.684005476861,"MIDDLE-UPPER SKEENA","MandU-SKNA","PKE-8",218,"Y","Skeena",1986,2020,245,7,4,256.428571428571,7,4,276.571428571429,7,4,2,2,2
"269","Babine River - Section 4 (Smithers) Pink_PKO-16","Babine River - Section 4 (Smithers) Pink",49366,"Pink",55.4149695474349,-126.684005476861,"MIDDLE AND UPPER SKEENA","MandUSK","PKO-16",213,"Y","Skeena",1985,2019,232.777777777778,9,6,247.111111111111,9,6,270.111111111111,9,6,2,2,2
"270","Babine River - Section 4 (Smithers) Sockeye_SEL-21-02","Babine River - Section 4 (Smithers) Sockeye",49364,"Sockeye",55.4149695474349,-126.684005476861,"BABINE","Babine","SEL-21-02",180,"Y","Skeena",1985,2022,267,18,12,279.15,20,14,299.227272727273,22,14,1,1,1
"271","Babine River - Section 5 (Smithers) Chinook_CK-53","Babine River - Section 5 (Smithers) Chinook",45461,"Chinook",55.4254332578665,-126.696470234207,"MIDDLE SKEENA-LARGE LAKES","MSK-LGLKS","CK-53",222,"N","Skeena",2000,2022,259.5,13,13,271.973684210526,19,15,286.9375,16,13,3,2,2
"272","Babine River - Section 5 (Smithers) Coho_CO-33","Babine River - Section 5 (Smithers) Coho",45458,"Coho",55.4254332578665,-126.696470234207,"MIDDLE SKEENA","MSKNA","CO-33",215,"N","Skeena",2009,2020,288.944444444444,9,9,302.5,9,9,315.166666666667,9,9,3,3,3
"273","Babine River - Section 5 (Smithers) Pink_PKE-8","Babine River - Section 5 (Smithers) Pink",45459,"Pink",55.4254332578665,-126.696470234207,"MIDDLE-UPPER SKEENA","MandU-SKNA","PKE-8",218,"N","Skeena",2010,2012,249,2,2,259,2,2,274,2,2,3,3,3
"274","Babine River - Section 5 (Smithers) Pink_PKO-16","Babine River - Section 5 (Smithers) Pink",45459,"Pink",55.4254332578665,-126.696470234207,"MIDDLE AND UPPER SKEENA","MandUSK","PKO-16",213,"N","Skeena",2009,2009,248.5,1,1,258.5,1,1,268.5,1,1,3,3,3
"275","Babine River - Section 5 (Smithers) Sockeye_SEL-21-02","Babine River - Section 5 (Smithers) Sockeye",45457,"Sockeye",55.4254332578665,-126.696470234207,"BABINE","Babine","SEL-21-02",180,"N","Skeena",2005,2021,263.214285714286,7,7,275.5,9,9,284.642857142857,7,7,3,3,3
"276","Babine River (section 1-3) Chinook_CK-53","Babine River (section 1-3) Chinook",3255,"Chinook",55.3295447104137,-126.63140938558,"MIDDLE SKEENA-LARGE LAKES","MSK-LGLKS","CK-53",222,"N","Skeena",2009,2022,253.6,10,10,266.7,10,10,277.7,10,10,3,3,3
"277","Babine River (Sections 1 - 3) Pink_PKE-8","Babine River (Sections 1 - 3) Pink",3276,"Pink",55.3295447104137,-126.63140938558,"MIDDLE-UPPER SKEENA","MandU-SKNA","PKE-8",218,"N","Skeena",2014,2014,248.5,1,1,258.5,1,1,268.5,1,1,3,3,3
"278","Babine River (Sections 1 - 3) Pink_PKO-16","Babine River (Sections 1 - 3) Pink",3276,"Pink",55.3295447104137,-126.63140938558,"MIDDLE AND UPPER SKEENA","MandUSK","PKO-16",213,"N","Skeena",2009,2013,248.5,3,3,258.5,3,3,271.833333333333,3,3,3,3,3
"279","Bachus Creek (Campbell River Area) Chum Run 1_CM-6","Bachus Creek (Campbell River Area) Chum Run 1",45893,"Chum",50.2430017146295,-125.327648402502,"LOUGHBOROUGH","LOUGH","CM-6",902,"N","Vancouver Island & Mainland Inlets",1982,1990,287.333333333333,3,2,292.666666666667,3,2,316,3,2,2,2,2
"280","Baezaeko River (Quesnel) Chinook Run 1_CK-10","Baezaeko River (Quesnel) Chinook Run 1",44752,"Chinook",53.1351226337611,-123.671477998289,"MIDDLE FRASER RIVER_SP_1.3","MFR-spring","CK-10",310,"Y","Fraser",1999,2009,228.5,1,1,239.416666666667,6,6,259,2,2,3,3,3
"281","Bag Harbour Creek (Sandspit) Chum_CM-21","Bag Harbour Creek (Sandspit) Chum",43008,"Chum",52.3448776738301,-131.37082638593,"EAST HG","EHG","CM-21",801,"Y","Haida Gwaii",1953,2022,267.275,60,46,283.364406779661,59,44,298.737288135593,59,43,1,1,1
"282","Bag Harbour Creek (Sandspit) Coho_CO-23","Bag Harbour Creek (Sandspit) Coho",43006,"Coho",52.3448776738301,-131.37082638593,"HG-EAST","EHG","CO-23",807,"N","Haida Gwaii",1953,2020,273.372093023256,43,32,287.987804878049,41,29,308.654761904762,42,29,1,1,1
"283","Bag Harbour Creek (Sandspit) Pink_PKE-10","Bag Harbour Creek (Sandspit) Pink",43007,"Pink",52.3448776738301,-131.37082638593,"EAST HAIDA GWAII","EHG","PKE-10",811,"N","Haida Gwaii",1960,2022,257.529411764706,17,13,270.176470588235,17,13,281.647058823529,17,13,2,2,2
"284","Baker Creek (Quesnel) Chinook Run 1_CK-10","Baker Creek (Quesnel) Chinook Run 1",47267,"Chinook",52.9729793879409,-122.50316666693,"MIDDLE FRASER RIVER_SP_1.3","MFR-spring","CK-10",310,"N","Fraser",1990,2008,216.5,7,6,232.727272727273,11,9,246.25,8,7,2,2,2
"285","Baker Creek Chum_CM-4","Baker Creek Chum",45682,"Chum",48.4034075514996,-123.704578527856,"GEORGIA STRAIT","GStr-SFj","CM-4",904,"N","Vancouver Island & Mainland Inlets",1977,1998,306.041666666667,12,12,321.541666666667,12,11,338.214285714286,14,10,3,2,2
"286","Baker Creek Coho_CO-13","Baker Creek Coho",45678,"Coho",48.4034075514996,-123.704578527856,"EAST VANCOUVER ISLAND-GEORGIA STRAIT","EVI+GStr","CO-13",910,"N","Vancouver Island & Mainland Inlets",1982,1998,319.818181818182,11,11,330.363636363636,11,10,351.291666666667,12,9,3,2,2
"287","Balcom Inlet Creek (Sandspit) Chum_CM-21","Balcom Inlet Creek (Sandspit) Chum",43368,"Chum",52.089038447165,-130.999467378134,"EAST HG","EHG","CM-21",801,"N","Haida Gwaii",1980,1998,270.5,13,12,283.25,14,13,293.269230769231,13,12,2,2,2
"288","Balcom Inlet Creek (Sandspit) Coho_CO-23","Balcom Inlet Creek (Sandspit) Coho",43366,"Coho",52.089038447165,-130.999467378134,"HG-EAST","EHG","CO-23",807,"N","Haida Gwaii",1985,1990,278,5,5,284,5,5,293.4,5,5,3,3,3
"289","Bamford Creek (Port Hardy) Chum Run 1_CM-8","Bamford Creek (Port Hardy) Chum Run 1",49490,"Chum",50.989938074974,-127.307362039379,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1953,1986,260,26,19,267.692307692308,26,17,289.923076923077,26,15,1,1,1
"290","Bamford Creek (Port Hardy) Coho Run 1_CO-12","Bamford Creek (Port Hardy) Coho Run 1",49486,"Coho",50.989938074974,-127.307362039379,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"N","Vancouver Island & Mainland Inlets",1953,2000,267.596774193548,31,25,288.765625,32,22,305.8125,32,22,1,1,1
"291","Bamford Creek (Port Hardy) Sockeye Run 1_SER-09","Bamford Creek (Port Hardy) Sockeye Run 1",49484,"Sockeye",50.989938074974,-127.307362039379,"SOUTHERN FJORDS","SFj","SER-09",971,"N","Vancouver Island & Mainland Inlets",1976,1976,284,1,1,294,1,1,320,1,1,3,3,3
"292","Bancroft Creek Chum_CM-10","Bancroft Creek Chum",41336,"Chum",49.5939522679136,-125.915279071323,"SOUTHWEST VANCOUVER ISLAND","SWVI","CM-10",978,"N","Vancouver Island & Mainland Inlets",1953,1953,288,1,0,NA,0,0,NA,0,0,2,3,3
"293","Bancroft Creek Coho_CO-17","Bancroft Creek Coho",41332,"Coho",49.5939522679136,-125.915279071323,"WEST VANCOUVER ISLAND","WVI","CO-17",914,"N","Vancouver Island & Mainland Inlets",1953,1953,288,1,0,NA,0,0,NA,0,0,2,3,3
"294","Banks Lakes Creek (Grenville Principe) Chum_CM-18","Banks Lakes Creek (Grenville Principe) Chum",44333,"Chum",53.3768813179793,-130.198968732525,"HECATE LOWLANDS","NCC-coastal","CM-18",506,"N","Central Coast",1974,1977,253,2,0,268,2,0,288,2,0,2,2,2
"295","Banks Lakes Creek (Grenville Principe) Coho_CO-27","Banks Lakes Creek (Grenville Principe) Coho",44331,"Coho",53.3768813179793,-130.198968732525,"HECATE STRAIT MAINLAND","HecLow+HStr","CO-27",520,"N","Central Coast",1954,1992,250.192307692308,26,17,267,26,17,287.958333333333,24,15,1,1,1
"296","Banks Lakes Creek (Grenville Principe) Pink_PKE-5","Banks Lakes Creek (Grenville Principe) Pink",44332,"Pink",53.3768813179793,-130.198968732525,"HECATE LOWLANDS","HStr-HecLow","PKE-5",608,"N","Central Coast",1974,1990,248,1,0,258,1,0,268.5,2,1,2,2,2
